algorithm,seed,episode,global_step,episode_return,episode_steps,success,collision,epsilon,mean_loss,mean_q
dqn,42,1,3,-10.03,3,0,1,0.9999525,,
dqn,42,2,21,-10.18,18,0,1,0.9996675,,
dqn,42,3,24,-10.03,3,0,1,0.99962,,
dqn,42,4,31,-10.07,7,0,1,0.9995091666666667,,
dqn,42,5,34,-10.03,3,0,1,0.9994616666666667,,
dqn,42,6,39,-10.049999999999999,5,0,1,0.9993825,,
dqn,42,7,45,-10.06,6,0,1,0.9992875,,
dqn,42,8,48,-10.03,3,0,1,0.99924,,
dqn,42,9,61,-10.129999999999999,13,0,1,0.9990341666666667,,
dqn,42,10,64,-10.03,3,0,1,0.9989866666666667,,
dqn,42,11,73,-10.09,9,0,1,0.9988441666666666,,
dqn,42,12,76,-10.03,3,0,1,0.9987966666666667,,
dqn,42,13,86,-10.1,10,0,1,0.9986383333333333,,
dqn,42,14,90,-10.04,4,0,1,0.998575,,
dqn,42,15,92,-10.02,2,0,1,0.9985433333333333,,
dqn,42,16,99,-10.07,7,0,1,0.9984325,,
dqn,42,17,105,-10.06,6,0,1,0.9983375,,
dqn,42,18,120,-10.15,15,0,1,0.9981,,
dqn,42,19,137,-10.17,17,0,1,0.9978308333333333,,
dqn,42,20,153,-10.16,16,0,1,0.9975775,,
dqn,42,21,156,-10.03,3,0,1,0.99753,,
dqn,42,22,160,-10.04,4,0,1,0.9974666666666666,,
dqn,42,23,163,-10.03,3,0,1,0.9974191666666666,,
dqn,42,24,171,-10.08,8,0,1,0.9972925,,
dqn,42,25,189,-10.18,18,0,1,0.9970075,,
dqn,42,26,217,-10.28,28,0,1,0.9965641666666667,,
dqn,42,27,220,-10.03,3,0,1,0.9965166666666667,,
dqn,42,28,225,-10.049999999999999,5,0,1,0.9964375,,
dqn,42,29,241,-10.16,16,0,1,0.9961841666666666,,
dqn,42,30,243,-10.02,2,0,1,0.9961525,,
dqn,42,31,252,-10.09,9,0,1,0.99601,,
dqn,42,32,271,-10.19,19,0,1,0.9957091666666666,,
dqn,42,33,300,-10.29,29,0,1,0.99525,,
dqn,42,34,308,-10.08,8,0,1,0.9951233333333334,,
dqn,42,35,320,-10.12,12,0,1,0.9949333333333333,,
dqn,42,36,331,-10.11,11,0,1,0.9947591666666666,,
dqn,42,37,344,-10.129999999999999,13,0,1,0.9945533333333333,,
dqn,42,38,349,-10.049999999999999,5,0,1,0.9944741666666667,,
dqn,42,39,367,-10.18,18,0,1,0.9941891666666667,,
dqn,42,40,373,-10.06,6,0,1,0.9940941666666667,,
dqn,42,41,376,-10.03,3,0,1,0.9940466666666666,,
dqn,42,42,380,-10.04,4,0,1,0.9939833333333333,,
dqn,42,43,418,-10.38,38,0,1,0.9933816666666667,,
dqn,42,44,425,-10.07,7,0,1,0.9932708333333333,,
dqn,42,45,453,-10.28,28,0,1,0.9928275,,
dqn,42,46,462,-10.09,9,0,1,0.992685,,
dqn,42,47,478,-10.16,16,0,1,0.9924316666666667,,
dqn,42,48,485,-10.07,7,0,1,0.9923208333333333,,
