algorithm,train_seed,episode,episode_seed,return,steps,success,collision
ddqn,42,1,10000,9.86,14,1,0
ddqn,42,2,10001,9.81,19,1,0
ddqn,42,3,10002,9.84,16,1,0
ddqn,42,4,10003,9.78,22,1,0
ddqn,42,5,10004,9.86,14,1,0
ddqn,42,6,10005,9.86,14,1,0
ddqn,42,7,10006,9.86,14,1,0
ddqn,42,8,10007,9.75,25,1,0
ddqn,42,9,10008,9.61,39,1,0
ddqn,42,10,10009,9.85,15,1,0
ddqn,42,11,10010,9.88,12,1,0
ddqn,42,12,10011,9.88,12,1,0
ddqn,42,13,10012,9.85,15,1,0
ddqn,42,14,10013,9.88,12,1,0
ddqn,42,15,10014,9.86,14,1,0
ddqn,42,16,10015,9.8,20,1,0
ddqn,42,17,10016,9.75,25,1,0
ddqn,42,18,10017,9.790000000000001,21,1,0
ddqn,42,19,10018,9.86,14,1,0
ddqn,42,20,10019,9.68,32,1,0
ddqn,42,21,10020,9.8,20,1,0
ddqn,42,22,10021,9.86,14,1,0
ddqn,42,23,10022,9.73,27,1,0
ddqn,42,24,10023,9.74,26,1,0
ddqn,42,25,10024,9.75,25,1,0
ddqn,42,26,10025,9.86,14,1,0
ddqn,42,27,10026,9.88,12,1,0
ddqn,42,28,10027,9.86,14,1,0
ddqn,42,29,10028,9.81,19,1,0
ddqn,42,30,10029,9.77,23,1,0
